ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,201.535131,1270250,1000000
2048,357.358229,1432736,1000000
3072,729.249158,1053138,1000000
6144,1424.320457,1078409,1000000
11264,1408.783284,1998888,1000000
19456,2804.214624,1734532,1000000
34816,5588.034006,1557614,1000000
62464,11154.955012,1399916,1000000
112640,22295.502500,1263035,1000000
203776,44555.459933,1143384,1000000
366592,89055.245580,1029114,1000000
659456,89041.458417,1851542,1000000
1187840,178066.667066,1667690,1000000
2138112,356125.978712,1500952,1000000
3849216,712216.877760,1351139,1000000
6929408,1424546.059324,1216073,1000000
12475392,2848944.679001,1094738,1000000
22461440,2841419.009317,1976252,1000000
40437760,5639858.097550,1792499,1000000
72803328,11304036.101702,1610118,1000000
131072000,22664754.881312,1445769,1000000
