ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,365,1447140.000000,1000000
1418240,460,1547498.000000,1000000
1916928,554,1749254.000000,1000000
2592768,656,1995014.000000,1000000
3506176,676,1314466.000000,1000000
4741120,838,1435058.000000,1000000
6411264,951,1714237.000000,1000000
8669184,1081,1020404.000000,1000000
11723776,638,1169059.000000,1000000
15852544,701,1438875.000000,1000000
21437440,685,1992912.000000,1000000
28988416,684,1350733.000000,1000000
39199744,484,1290421.000000,1000000
53007360,520,1626586.000000,1000000
71680000,550,1039271.000000,1000000
96928768,503,1536890.000000,1000000
131072000,553,1892802.000000,1000000
177242112,539,1311152.000000,1000000
239675392,538,1778325.000000,1000000
324101120,561,1152970.000000,1000000
438265856,561,1558474.000000,1000000
592644096,549,1077325.000000,1000000
801403904,526,1521770.000000,1000000
1083697152,504,1073234.000000,1000000
1465430016,489,1497460.000000,1000000
1981626368,481,1028047.000000,1000000
2679653376,484,1383179.000000,1000000
3623561216,484,1869068.000000,1000000
604991488,510,1184581.000000,1000000
2331000832,487,1195382.000000,1000000
370027520,542,1362275.000000,1000000
3526171648,466,1887435.000000,1000000
3499098112,479,1822595.000000,1000000
